TEFF  47500.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.37030021E-06  31424.0 4.211E-01 5.059E+10 3.456E-01 3.654E+03 2.000E+05
 5.14450734E-06  31455.1 4.957E-01 5.949E+10 3.456E-01 3.654E+03 2.000E+05
 6.85979817E-06  31456.1 6.609E-01 7.932E+10 3.458E-01 3.665E+03 2.000E+05
 9.14551089E-06  31457.1 8.811E-01 1.057E+11 3.462E-01 3.679E+03 2.000E+05
 1.21904526E-05  31473.4 1.174E+00 1.409E+11 3.466E-01 3.691E+03 2.000E+05
 1.62457320E-05  31487.0 1.565E+00 1.876E+11 3.471E-01 3.703E+03 2.000E+05
 2.16445128E-05  31520.1 2.085E+00 2.496E+11 3.477E-01 3.719E+03 2.000E+05
 2.88288000E-05  31557.6 2.776E+00 3.320E+11 3.485E-01 3.739E+03 2.000E+05
 3.83839567E-05  31619.5 3.696E+00 4.411E+11 3.495E-01 3.759E+03 2.000E+05
 5.10844952E-05  31712.8 4.918E+00 5.851E+11 3.508E-01 3.773E+03 2.000E+05
 6.79515142E-05  31804.9 6.541E+00 7.758E+11 3.524E-01 3.794E+03 2.000E+05
 9.03285569E-05  31910.3 8.694E+00 1.027E+12 3.544E-01 3.824E+03 2.000E+05
 1.19978036E-04  32035.1 1.154E+01 1.359E+12 3.570E-01 3.859E+03 2.000E+05
