TEFF  42500.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [-0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.90521316E-06  22262.6 3.785E-01 6.174E+10 3.534E-01 2.284E+04 2.000E+05
 5.03340589E-06  23545.8 3.886E-01 6.042E+10 3.534E-01 1.976E+04 2.000E+05
 6.70528132E-06  23744.7 5.231E-01 8.063E+10 3.552E-01 1.930E+04 2.000E+05
 8.92497326E-06  23981.4 7.026E-01 1.072E+11 3.575E-01 1.900E+04 2.000E+05
 1.18635921E-05  24230.2 9.408E-01 1.421E+11 3.603E-01 1.890E+04 2.000E+05
 1.57495856E-05  24498.4 1.257E+00 1.878E+11 3.635E-01 1.851E+04 2.000E+05
 2.08827398E-05  24773.2 1.676E+00 2.476E+11 3.672E-01 1.827E+04 2.000E+05
 2.76531892E-05  25053.4 2.229E+00 3.257E+11 3.715E-01 1.843E+04 2.000E+05
 3.65792939E-05  25351.5 2.960E+00 4.277E+11 3.756E-01 1.762E+04 2.000E+05
 4.83564601E-05  25649.0 3.937E+00 5.624E+11 3.796E-01 1.648E+04 2.000E+05
 6.38842953E-05  25946.8 5.241E+00 7.402E+11 3.842E-01 1.567E+04 2.000E+05
 8.43177894E-05  26257.2 6.970E+00 9.730E+11 3.898E-01 1.515E+04 2.000E+05
 1.11144443E-04  26590.0 9.251E+00 1.276E+12 3.964E-01 1.481E+04 2.000E+05
