TEFF  47500.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [+0.1]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.25890 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.46999774E-06  23235.7 1.948E-01 3.079E+10 3.720E-01 5.642E+04 2.000E+05
 4.79126790E-06  24831.4 2.099E-01 3.160E+10 3.720E-01 4.923E+04 2.000E+05
 6.36846322E-06  25093.6 2.881E-01 4.291E+10 3.746E-01 5.161E+04 2.000E+05
 8.47170930E-06  25435.4 3.934E-01 5.783E+10 3.774E-01 4.827E+04 2.000E+05
 1.12548670E-05  25769.4 5.419E-01 7.865E+10 3.803E-01 4.522E+04 2.000E+05
 1.49373210E-05  26110.7 7.483E-01 1.072E+11 3.834E-01 4.287E+04 2.000E+05
 1.98083011E-05  26466.5 1.032E+00 1.459E+11 3.866E-01 4.071E+04 2.000E+05
 2.62482341E-05  26844.1 1.423E+00 1.984E+11 3.900E-01 3.784E+04 2.000E+05
 3.47555948E-05  27226.0 1.962E+00 2.698E+11 3.939E-01 3.568E+04 2.000E+05
 4.59820740E-05  27623.2 2.694E+00 3.653E+11 3.983E-01 3.396E+04 2.000E+05
 6.07786636E-05  28038.5 3.681E+00 4.919E+11 4.033E-01 3.267E+04 2.000E+05
 8.02440756E-05  28474.3 5.008E+00 6.593E+11 4.092E-01 3.097E+04 2.000E+05
 1.05810558E-04  28924.4 6.800E+00 8.817E+11 4.156E-01 2.886E+04 2.000E+05
