TEFF  40000.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [+0.1]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.25890 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.97229766E-06  19958.8 3.478E-01 6.315E+10 3.589E-01 3.005E+04 2.000E+05
 4.99207934E-06  22111.0 3.493E-01 5.738E+10 3.589E-01 2.259E+04 2.000E+05
 6.59988151E-06  22343.6 4.745E-01 7.714E+10 3.621E-01 2.168E+04 2.000E+05
 8.77577973E-06  22579.0 6.465E-01 1.040E+11 3.649E-01 2.019E+04 2.000E+05
 1.16540281E-05  22801.6 8.778E-01 1.398E+11 3.680E-01 1.921E+04 2.000E+05
 1.54573134E-05  23029.2 1.187E+00 1.872E+11 3.716E-01 1.839E+04 2.000E+05
 2.04762502E-05  23267.2 1.598E+00 2.495E+11 3.757E-01 1.766E+04 2.000E+05
 2.70885103E-05  23515.8 2.144E+00 3.312E+11 3.807E-01 1.718E+04 2.000E+05
 3.57826900E-05  23778.9 2.866E+00 4.378E+11 3.864E-01 1.691E+04 2.000E+05
 4.71938464E-05  24059.0 3.816E+00 5.762E+11 3.929E-01 1.660E+04 2.000E+05
 6.21490365E-05  24354.7 5.065E+00 7.557E+11 4.001E-01 1.630E+04 2.000E+05
 8.17137585E-05  24669.4 6.705E+00 9.878E+11 4.082E-01 1.609E+04 2.000E+05
 1.07250914E-04  25005.3 8.850E+00 1.287E+12 4.175E-01 1.598E+04 2.000E+05
